bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_area,rent_price_listing,resblock_name,type
1,1,牛街,北京,西城,970.0,北,0,近地铁 精装 集中供暖,整租 · 牛街18 1室0厅 5600元,39.889555,1室0厅1卫,116.37093700000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2164977767719116800.html,52.0,5600,牛街18,整租
1,1,百子湾,北京,朝阳,959.0,西,0,近地铁 集中供暖 随时看房,大成国际 1室0厅 6000元,39.904937,1室0厅1卫,116.49954,https://m.lianjia.com/chuzu/bj/zufang/BJ2126818729844555776.html,36.0,6000,大成国际,整租
1,2,门头沟其它,北京,门头沟,1099.0,西,1,集中供暖,西长安壹号 3房间1卫 3200元,39.909783000000004,3房间1卫,116.130421,https://m.lianjia.com/chuzu/bj/zufang/BJ2052872540950904832.html,38.0,3200,西长安壹号,整租
2,3,临河里,北京,通州,996.0,南 北,2,近地铁 精装 集中供暖 双卫生间,整租 ·   华远铭悦 精装修   家具家电全齐 软水处理系统,39.878396,3室2厅2卫,116.703076,https://m.lianjia.com/chuzu/bj/zufang/BJ2191311043169353728.html,135.0,8800,华远铭悦,整租
2,3,顺义城,北京,顺义,,南 北,2,集中供暖 双卫生间,整租 ·   裕龙五区三居室  主卧带独立卫生间  3月初能入住,40.127185,3室2厅2卫,116.683117,https://m.lianjia.com/chuzu/bj/zufang/BJ2191750837527642112.html,153.0,6000,裕龙五区,整租
2,1,建国门外,北京,朝阳,914.0,东,1,近地铁 精装 双卫生间 随时看房,整租 ·   东二环 loft户型 双卫 正规一居室,39.910537,1室1厅2卫,116.44977800000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2160766245447155712.html,61.0,11000,丽舍公寓,整租
1,2,顺义城,北京,顺义,,南 北,1,集中供暖 随时看房,整租 · 石园北区 2室1厅 3600元,40.118728999999995,2室1厅1卫,116.670101,https://m.lianjia.com/chuzu/bj/zufang/BJ2171608421495734272.html,72.0,3600,石园北区,整租
1,3,丰台其它,北京,丰台,,南 北,1,随时看房,整租 · 丰台区长辛店永兴里 简装小三居 干净整洁 随时可住,39.838279,3室1厅1卫,116.20716000000002,https://m.lianjia.com/chuzu/bj/zufang/BJ2029962604365496320.html,69.0,2600,永兴里,整租
1,2,牡丹园,北京,海淀,216.0,西南,1,近地铁 集中供暖,10号线牡丹园 牡丹园西里 精装两居室 家具家电齐全,39.984455,2室1厅1卫,116.377299,https://m.lianjia.com/chuzu/bj/zufang/BJ2143195717236162560.html,58.0,8500,牡丹园西里,整租
2,3,南邵,北京,昌平,,南 北,1,集中供暖 新上,金科廊桥水岸 3室1厅 5000元,40.200688,3室1厅2卫,116.281016,https://m.lianjia.com/chuzu/bj/zufang/BJ2196127875609411584.html,110.0,5000,金科廊桥水岸,整租
